[Ramulator::ReadWriteTrace] [info] Loading trace file /media/fann/T9/MEM_INTENSIVE_SPEC_GAP/cactuBSSN.txt ...
[Ramulator::ReadWriteTrace] [info] Loaded 1000000 instructions.
READ DURATION: 2766, READ INSTS: 297, LAST WRITE DURATION: 251, LAST WRITE INSTS: 24, R/W DURATION RATIO: 11.0199
READ DURATION: 1186, READ INSTS: 118, LAST WRITE DURATION: 263, LAST WRITE INSTS: 30, R/W DURATION RATIO: 4.50951
READ DURATION: 681, READ INSTS: 69, LAST WRITE DURATION: 1778, LAST WRITE INSTS: 27, R/W DURATION RATIO: 0.450397
WAITED CYCLES: 229
READ DURATION: 608, READ INSTS: 74, LAST WRITE DURATION: 314, LAST WRITE INSTS: 34, R/W DURATION RATIO: 1.93631
READ DURATION: 635, READ INSTS: 74, LAST WRITE DURATION: 273, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.32601
READ DURATION: 743, READ INSTS: 76, LAST WRITE DURATION: 256, LAST WRITE INSTS: 26, R/W DURATION RATIO: 2.90234
READ DURATION: 669, READ INSTS: 75, LAST WRITE DURATION: 298, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.24497
READ DURATION: 699, READ INSTS: 78, LAST WRITE DURATION: 273, LAST WRITE INSTS: 28, R/W DURATION RATIO: 2.56044
READ DURATION: 698, READ INSTS: 78, LAST WRITE DURATION: 225, LAST WRITE INSTS: 27, R/W DURATION RATIO: 3.10222
READ DURATION: 696, READ INSTS: 79, LAST WRITE DURATION: 248, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.80645
READ DURATION: 671, READ INSTS: 77, LAST WRITE DURATION: 290, LAST WRITE INSTS: 27, R/W DURATION RATIO: 2.31379
READ DURATION: 6744, READ INSTS: 623, LAST WRITE DURATION: 232, LAST WRITE INSTS: 27, R/W DURATION RATIO: 29.069
READ DURATION: 4872, READ INSTS: 447, LAST WRITE DURATION: 341, LAST WRITE INSTS: 16, R/W DURATION RATIO: 14.2874
READ DURATION: 2246, READ INSTS: 122, LAST WRITE DURATION: 265, LAST WRITE INSTS: 40, R/W DURATION RATIO: 8.47547
READ DURATION: 3671, READ INSTS: 132, LAST WRITE DURATION: 263, LAST WRITE INSTS: 36, R/W DURATION RATIO: 13.9582
READ DURATION: 2081, READ INSTS: 106, LAST WRITE DURATION: 291, LAST WRITE INSTS: 19, R/W DURATION RATIO: 7.1512
READ DURATION: 2024, READ INSTS: 106, LAST WRITE DURATION: 225, LAST WRITE INSTS: 31, R/W DURATION RATIO: 8.99556
READ DURATION: 2098, READ INSTS: 109, LAST WRITE DURATION: 225, LAST WRITE INSTS: 21, R/W DURATION RATIO: 9.32444
READ DURATION: 3157, READ INSTS: 100, LAST WRITE DURATION: 246, LAST WRITE INSTS: 31, R/W DURATION RATIO: 12.8333
READ DURATION: 1143, READ INSTS: 123, LAST WRITE DURATION: 215, LAST WRITE INSTS: 29, R/W DURATION RATIO: 5.31628
READ DURATION: 2111, READ INSTS: 214, LAST WRITE DURATION: 248, LAST WRITE INSTS: 33, R/W DURATION RATIO: 8.5121
READ DURATION: 2100, READ INSTS: 207, LAST WRITE DURATION: 182, LAST WRITE INSTS: 28, R/W DURATION RATIO: 11.5385
READ DURATION: 2029, READ INSTS: 195, LAST WRITE DURATION: 201, LAST WRITE INSTS: 22, R/W DURATION RATIO: 10.0945
READ DURATION: 860, READ INSTS: 86, LAST WRITE DURATION: 207, LAST WRITE INSTS: 27, R/W DURATION RATIO: 4.15459
READ DURATION: 467, READ INSTS: 44, LAST WRITE DURATION: 442, LAST WRITE INSTS: 40, R/W DURATION RATIO: 1.05656
READ DURATION: 415, READ INSTS: 45, LAST WRITE DURATION: 305, LAST WRITE INSTS: 31, R/W DURATION RATIO: 1.36066
READ DURATION: 508, READ INSTS: 44, LAST WRITE DURATION: 1625, LAST WRITE INSTS: 15, R/W DURATION RATIO: 0.604762
READ DURATION: 407, READ INSTS: 48, LAST WRITE DURATION: 295, LAST WRITE INSTS: 42, R/W DURATION RATIO: 1.37966
READ DURATION: 465, READ INSTS: 49, LAST WRITE DURATION: 225, LAST WRITE INSTS: 18, R/W DURATION RATIO: 2.06667
READ DURATION: 478, READ INSTS: 45, LAST WRITE DURATION: 257, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.85992
READ DURATION: 478, READ INSTS: 49, LAST WRITE DURATION: 256, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.86719
READ DURATION: 493, READ INSTS: 49, LAST WRITE DURATION: 259, LAST WRITE INSTS: 28, R/W DURATION RATIO: 1.90347
READ DURATION: 461, READ INSTS: 48, LAST WRITE DURATION: 276, LAST WRITE INSTS: 29, R/W DURATION RATIO: 1.67029
READ DURATION: 492, READ INSTS: 51, LAST WRITE DURATION: 288, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.70833
READ DURATION: 562, READ INSTS: 55, LAST WRITE DURATION: 364, LAST WRITE INSTS: 27, R/W DURATION RATIO: 1.54396
